Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_1017,5961,50x50,0.34,N/A,N/A,N/A,N/A,167445,1.47946,4.48402,2.62287e+07,2.62287,5.12547,0.55,"22,23"
vib_new_1,5961,50x50,0.34,N/A,N/A,N/A,N/A,156586,1.47946,4.48402,2.18916e+07,2.18916,5.00932,0.68,"22,24"
vib_new_1016,5961,50x50,0.34,N/A,N/A,N/A,N/A,79559,1.47946,4.48402,3.22736e+07,3.22736,4.664,0.46,"26,21"
vib_new_572,5961,50x50,0.34,N/A,N/A,N/A,N/A,84512,1.47946,4.48402,2.75280e+07,2.75280,4.60709,0.49,"24,26"
vib_new_262,5961,50x50,0.34,N/A,N/A,N/A,N/A,147486,1.47946,4.48402,2.22121e+07,2.22121,4.79881,0.65,"24,20"
vib_new_1455,5961,50x50,0.34,N/A,N/A,N/A,N/A,89818,1.47946,4.48402,3.57294e+07,3.57294,4.87497,0.36,"22,29"
vib_new_787,5961,50x50,0.34,N/A,N/A,N/A,N/A,106688,1.47946,4.48402,2.90541e+07,2.90541,4.62552,0.59,"22,24"
vib_new_105,5961,50x50,0.34,N/A,N/A,N/A,N/A,154730,1.47946,4.48402,2.68431e+07,2.68431,6.12274,0.61,"21,25"
vib_new_511,5961,50x50,0.34,N/A,N/A,N/A,N/A,81897,1.47946,4.48402,2.64995e+07,2.64995,4.64539,0.54,"23,16"
vib_new_878,5961,50x50,0.34,N/A,N/A,N/A,N/A,88863,1.47946,4.48402,2.51124e+07,2.51124,4.70014,0.44,"30,15"
vib_new_1110,5961,50x50,0.34,N/A,N/A,N/A,N/A,83674,1.47946,4.48402,2.82773e+07,2.82773,4.64105,0.46,"19,21"
vib_new_933,5961,50x50,0.34,N/A,N/A,N/A,N/A,179506,1.47946,4.48402,2.44878e+07,2.44878,6.18897,0.81,"30,20"
vib_new_582,5961,50x50,0.34,N/A,N/A,N/A,N/A,90508,1.47946,4.48402,2.71043e+07,2.71043,4.77143,0.44,"34,18"
vib_new_1241,5961,50x50,0.34,N/A,N/A,N/A,N/A,84234,1.47946,4.48402,3.13358e+07,3.13358,4.92757,0.43,"22,30"
vib_new_1191,5961,50x50,0.34,N/A,N/A,N/A,N/A,144871,1.47946,4.48402,2.21790e+07,2.21790,4.86151,0.69,"26,30"
vib_new_697,5961,50x50,0.34,N/A,N/A,N/A,N/A,130014,1.47946,4.48402,2.16494e+07,2.16494,5.02309,0.61,"21,27"
vib_new_777,5961,50x50,0.34,N/A,N/A,N/A,N/A,106348,1.47946,4.48402,3.06605e+07,3.06605,4.69269,0.39,"19,26"
vib_new_1183,5961,50x50,0.34,N/A,N/A,N/A,N/A,188803,1.47946,4.48402,2.40984e+07,2.40984,6.13193,0.83,"24,18"
vib_new_199,5961,50x50,0.34,N/A,N/A,N/A,N/A,94159,1.47946,4.48402,3.81188e+07,3.81188,4.6641,0.4,"23,14"
vib_new_229,5961,50x50,0.34,N/A,N/A,N/A,N/A,130719,1.47946,4.48402,3.24736e+07,3.24736,5.60944,0.48,"22,15"
vib_new_8,5961,50x50,0.34,N/A,N/A,N/A,N/A,90662,1.47946,4.48402,2.71559e+07,2.71559,4.62719,0.51,"24,29"
vib_new_192,5961,50x50,0.34,N/A,N/A,N/A,N/A,177921,1.47946,4.48402,2.41892e+07,2.41892,5.75641,0.7,"23,16"
vib_new_1112,5961,50x50,0.34,N/A,N/A,N/A,N/A,124101,1.47946,4.48402,2.74612e+07,2.74612,5.21898,0.51,"25,17"
vib_new_1117,5961,50x50,0.34,N/A,N/A,N/A,N/A,88549,1.47946,4.48402,2.74080e+07,2.74080,4.79779,0.39,"24,30"
vib_new_1136,5961,50x50,0.34,N/A,N/A,N/A,N/A,94408,1.47946,4.48402,2.67201e+07,2.67201,4.78515,0.45,"22,18"
vib_new_693,5961,50x50,0.34,N/A,N/A,N/A,N/A,91185,1.47946,4.48402,2.74953e+07,2.74953,4.75029,0.43,"23,19"
vib_new_341,5961,50x50,0.34,N/A,N/A,N/A,N/A,133051,1.47946,4.48402,2.97166e+07,2.97166,5.36522,0.57,"23,16"
vib_new_256,5961,50x50,0.34,N/A,N/A,N/A,N/A,94255,1.47946,4.48402,2.77008e+07,2.77008,4.85299,0.46,"22,31"
vib_new_685,5961,50x50,0.34,N/A,N/A,N/A,N/A,126768,1.47946,4.48402,3.12347e+07,3.12347,5.75727,0.53,"23,35"
vib_new_1342,5961,50x50,0.34,N/A,N/A,N/A,N/A,169816,1.47946,4.48402,2.27784e+07,2.27784,6.00423,0.75,"22,26"
vib_new_1070,5961,50x50,0.34,N/A,N/A,N/A,N/A,138723,1.47946,4.48402,2.46582e+07,2.46582,4.63486,0.53,"17,21"
vib_new_931,5961,50x50,0.34,N/A,N/A,N/A,N/A,101715,1.47946,4.48402,2.84247e+07,2.84247,4.84639,0.6,"24,34"
vib_new_705,5961,50x50,0.34,N/A,N/A,N/A,N/A,144844,1.47946,4.48402,2.03767e+07,2.03767,4.931,0.72,"20,28"
vib_new_380,5961,50x50,0.34,N/A,N/A,N/A,N/A,95890,1.47946,4.48402,3.23819e+07,3.23819,4.78059,0.45,"24,14"
vib_new_275,5961,50x50,0.34,N/A,N/A,N/A,N/A,93796,1.47946,4.48402,2.52221e+07,2.52221,4.86257,0.59,"23,27"
vib_new_742,5961,50x50,0.34,N/A,N/A,N/A,N/A,112497,1.47946,4.48402,2.78926e+07,2.78926,4.72449,0.5,"26,26"
vib_new_1036,5961,50x50,0.34,N/A,N/A,N/A,N/A,93765,1.47946,4.48402,3.07654e+07,3.07654,4.84083,0.49,"27,17"
vib_new_1211,5961,50x50,0.34,N/A,N/A,N/A,N/A,78870,1.47946,4.48402,3.07367e+07,3.07367,4.59609,0.47,"22,32"
vib_new_88,5961,50x50,0.34,N/A,N/A,N/A,N/A,91658,1.47946,4.48402,2.79766e+07,2.79766,4.82797,0.46,"27,20"
vib_new_1479,5961,50x50,0.34,N/A,N/A,N/A,N/A,135874,1.47946,4.48402,2.75689e+07,2.75689,5.40059,0.47,"28,23"
vib_new_1404,5961,50x50,0.34,N/A,N/A,N/A,N/A,82129,1.47946,4.48402,2.54591e+07,2.54591,4.63275,0.52,"25,28"
vib_new_1076,5961,50x50,0.34,N/A,N/A,N/A,N/A,85603,1.47946,4.48402,3.22550e+07,3.22550,4.68463,0.38,"23,31"
