Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_1017,175,50x50,0.05,N/A,N/A,N/A,N/A,1681,1.47946,4.95825,2.62287e+07,2.62287,1.83328,0.11,"28,2"
vib_new_1,175,50x50,0.05,N/A,N/A,N/A,N/A,1983,1.47946,4.95825,2.18916e+07,2.18916,2.5978,0.12,"10,1"
vib_new_1016,175,50x50,0.05,N/A,N/A,N/A,N/A,1172,1.47946,4.95825,3.22736e+07,3.22736,2.20507,0.081,"20,0"
vib_new_572,175,50x50,0.05,N/A,N/A,N/A,N/A,1803,1.47946,4.95825,2.75280e+07,2.75280,1.68546,0.093,"11,0"
vib_new_262,175,50x50,0.05,N/A,N/A,N/A,N/A,1340,1.47946,4.95825,2.22121e+07,2.22121,1.85238,0.12,"32,48"
vib_new_1455,175,50x50,0.05,N/A,N/A,N/A,N/A,1460,1.47946,4.95825,3.57294e+07,3.57294,2.03627,0.084,"24,2"
vib_new_787,175,50x50,0.05,N/A,N/A,N/A,N/A,1644,1.47946,4.95825,2.90541e+07,2.90541,2.4919,0.11,"9,0"
vib_new_105,175,50x50,0.05,N/A,N/A,N/A,N/A,2440,1.47946,4.95825,2.68431e+07,2.68431,2.80734,0.18,"13,1"
vib_new_511,175,50x50,0.05,N/A,N/A,N/A,N/A,1429,1.47946,4.95825,2.64995e+07,2.64995,2.38811,0.12,"1,23"
vib_new_878,175,50x50,0.05,N/A,N/A,N/A,N/A,1697,1.47946,4.95825,2.51124e+07,2.51124,2.52844,0.082,"15,1"
vib_new_1110,175,50x50,0.05,N/A,N/A,N/A,N/A,1415,1.47946,4.95825,2.82773e+07,2.82773,1.5303,0.082,"26,1"
vib_new_933,175,50x50,0.05,N/A,N/A,N/A,N/A,3004,1.47946,4.95825,2.44878e+07,2.44878,2.91248,0.22,"15,1"
vib_new_582,175,50x50,0.05,N/A,N/A,N/A,N/A,1894,1.47946,4.95825,2.71043e+07,2.71043,1.65854,0.094,"12,0"
vib_new_1241,175,50x50,0.05,N/A,N/A,N/A,N/A,1396,1.47946,4.95825,3.13358e+07,3.13358,2.00753,0.1,"1,20"
vib_new_1191,175,50x50,0.05,N/A,N/A,N/A,N/A,1702,1.47946,4.95825,2.21790e+07,2.21790,2.16771,0.13,"25,1"
vib_new_697,175,50x50,0.05,N/A,N/A,N/A,N/A,1971,1.47946,4.95825,2.16494e+07,2.16494,2.76612,0.12,"29,0"
vib_new_631,175,50x50,0.05,N/A,N/A,N/A,N/A,1796,1.47946,4.95825,2.10496e+07,2.10496,1.96564,0.11,"23,1"
vib_new_777,175,50x50,0.05,N/A,N/A,N/A,N/A,2082,1.47946,4.95825,3.06605e+07,3.06605,1.82926,0.1,"26,1"
vib_new_1183,175,50x50,0.05,N/A,N/A,N/A,N/A,2954,1.47946,4.95825,2.40984e+07,2.40984,1.63276,0.25,"22,1"
vib_new_178,175,50x50,0.05,N/A,N/A,N/A,N/A,3264,1.47946,4.95825,1.97006e+07,1.97006,2.39368,0.25,"9,1"
vib_new_199,175,50x50,0.05,N/A,N/A,N/A,N/A,1924,1.47946,4.95825,3.81188e+07,3.81188,2.66483,0.075,"6,0"
vib_new_229,175,50x50,0.05,N/A,N/A,N/A,N/A,2278,1.47946,4.95825,3.24736e+07,3.24736,2.84679,0.15,"26,1"
vib_new_8,175,50x50,0.05,N/A,N/A,N/A,N/A,1811,1.47946,4.95825,2.71559e+07,2.71559,2.29443,0.11,"9,0"
vib_new_192,175,50x50,0.05,N/A,N/A,N/A,N/A,2596,1.47946,4.95825,2.41892e+07,2.41892,2.26566,0.2,"25,2"
vib_new_1112,175,50x50,0.05,N/A,N/A,N/A,N/A,1635,1.47946,4.95825,2.74612e+07,2.74612,1.91171,0.12,"23,0"
vib_new_1117,175,50x50,0.05,N/A,N/A,N/A,N/A,1235,1.47946,4.95825,2.74080e+07,2.74080,1.78317,0.085,"23,2"
vib_new_1136,175,50x50,0.05,N/A,N/A,N/A,N/A,1435,1.47946,4.95825,2.67201e+07,2.67201,2.94058,0.097,"30,48"
vib_new_365,175,50x50,0.05,N/A,N/A,N/A,N/A,2110,1.47946,4.95825,1.96806e+07,1.96806,2.33864,0.097,"9,1"
vib_new_693,175,50x50,0.05,N/A,N/A,N/A,N/A,1293,1.47946,4.95825,2.74953e+07,2.74953,1.88099,0.11,"31,2"
vib_new_341,175,50x50,0.05,N/A,N/A,N/A,N/A,2265,1.47946,4.95825,2.97166e+07,2.97166,2.1804,0.16,"26,1"
vib_new_256,175,50x50,0.05,N/A,N/A,N/A,N/A,1800,1.47946,4.95825,2.77008e+07,2.77008,2.58028,0.15,"12,0"
vib_new_685,175,50x50,0.05,N/A,N/A,N/A,N/A,2725,1.47946,4.95825,3.12347e+07,3.12347,1.71488,0.16,"19,1"
vib_new_1342,175,50x50,0.05,N/A,N/A,N/A,N/A,2626,1.47946,4.95825,2.27784e+07,2.27784,1.89944,0.18,"24,1"
vib_new_1070,175,50x50,0.05,N/A,N/A,N/A,N/A,1516,1.47946,4.95825,2.46582e+07,2.46582,1.58932,0.079,"32,0"
vib_new_931,175,50x50,0.05,N/A,N/A,N/A,N/A,1902,1.47946,4.95825,2.84247e+07,2.84247,2.20087,0.16,"32,0"
vib_new_705,175,50x50,0.05,N/A,N/A,N/A,N/A,1959,1.47946,4.95825,2.03767e+07,2.03767,1.99537,0.12,"33,48"
vib_new_380,175,50x50,0.05,N/A,N/A,N/A,N/A,1462,1.47946,4.95825,3.23819e+07,3.23819,1.48851,0.081,"27,1"
vib_new_275,175,50x50,0.05,N/A,N/A,N/A,N/A,1550,1.47946,4.95825,2.52221e+07,2.52221,1.74074,0.13,"26,3"
vib_new_908,175,50x50,0.05,N/A,N/A,N/A,N/A,3214,1.47946,4.95825,2.46039e+07,2.46039,1.75208,0.16,"24,2"
vib_new_742,175,50x50,0.05,N/A,N/A,N/A,N/A,1507,1.47946,4.95825,2.78926e+07,2.78926,1.5499,0.088,"17,0"
vib_new_1036,175,50x50,0.05,N/A,N/A,N/A,N/A,1396,1.47946,4.95825,3.07654e+07,3.07654,1.64758,0.1,"22,1"
vib_new_1211,175,50x50,0.05,N/A,N/A,N/A,N/A,1610,1.47946,4.95825,3.07367e+07,3.07367,2.81959,0.1,"24,1"
vib_new_88,175,50x50,0.05,N/A,N/A,N/A,N/A,1570,1.47946,4.95825,2.79766e+07,2.79766,2.10876,0.12,"25,2"
vib_new_1479,175,50x50,0.05,N/A,N/A,N/A,N/A,2005,1.47946,4.95825,2.75689e+07,2.75689,1.75498,0.092,"19,1"
vib_new_808,175,50x50,0.05,N/A,N/A,N/A,N/A,2047,1.47946,4.95825,2.15545e+07,2.15545,2.52721,0.12,"18,1"
vib_new_1404,175,50x50,0.05,N/A,N/A,N/A,N/A,1490,1.47946,4.95825,2.54591e+07,2.54591,1.96808,0.12,"12,0"
vib_new_1076,175,50x50,0.05,N/A,N/A,N/A,N/A,1357,1.47946,4.95825,3.22550e+07,3.22550,1.75122,0.093,"21,1"
vib_new_811,175,50x50,0.05,N/A,N/A,N/A,N/A,1544,1.47946,4.95825,2.23330e+07,2.23330,2.0178,0.12,"23,48"
vib_new_1219,175,50x50,0.05,N/A,N/A,N/A,N/A,1492,1.47946,4.95825,3.49903e+07,3.49903,1.76562,0.08,"24,48"
vib_new_1409,175,50x50,0.05,N/A,N/A,N/A,N/A,1863,1.47946,4.95825,2.29636e+07,2.29636,2.64376,0.16,"9,0"
vib_new_136,175,50x50,0.05,N/A,N/A,N/A,N/A,1702,1.47946,4.95825,2.77793e+07,2.77793,2.18304,0.096,"26,2"
vib_new_794,175,50x50,0.05,N/A,N/A,N/A,N/A,1614,1.47946,4.95825,2.85417e+07,2.85417,1.72914,0.13,"22,1"
vib_new_918,175,50x50,0.05,N/A,N/A,N/A,N/A,1544,1.47946,4.95825,3.22463e+07,3.22463,1.86824,0.087,"13,1"
vib_new_568,175,50x50,0.05,N/A,N/A,N/A,N/A,2036,1.47946,4.95825,2.02506e+07,2.02506,2.32796,0.13,"24,1"
vib_new_1425,175,50x50,0.05,N/A,N/A,N/A,N/A,2038,1.47946,4.95825,3.44750e+07,3.44750,1.79332,0.14,"28,0"
vib_new_713,175,50x50,0.05,N/A,N/A,N/A,N/A,1816,1.47946,4.95825,3.07745e+07,3.07745,1.83242,0.12,"21,1"
vib_new_391,175,50x50,0.05,N/A,N/A,N/A,N/A,1819,1.47946,4.95825,3.07683e+07,3.07683,1.80765,0.077,"23,1"
vib_new_1481,175,50x50,0.05,N/A,N/A,N/A,N/A,1729,1.47946,4.95825,2.69665e+07,2.69665,2.3264,0.14,"16,1"
vib_new_852,175,50x50,0.05,N/A,N/A,N/A,N/A,1695,1.47946,4.95825,2.60784e+07,2.60784,1.87162,0.089,"31,48"
vib_new_1422,175,50x50,0.05,N/A,N/A,N/A,N/A,1372,1.47946,4.95825,2.52389e+07,2.52389,1.6741,0.087,"27,2"
vib_new_34,175,50x50,0.05,N/A,N/A,N/A,N/A,2402,1.47946,4.95825,2.28416e+07,2.28416,3.01302,0.22,"23,1"
