Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_1017,124,50x50,0.04,N/A,N/A,N/A,N/A,2336,1.47946,4.48226,2.62287e+07,2.62287,2.19246,0.14,"28,5"
vib_new_1,124,50x50,0.04,N/A,N/A,N/A,N/A,2733,1.47946,4.48226,2.18916e+07,2.18916,3.10803,0.12,"27,9"
vib_new_1016,124,50x50,0.04,N/A,N/A,N/A,N/A,2250,1.47946,4.48226,3.22736e+07,3.22736,2.48252,0.11,"31,48"
vib_new_572,124,50x50,0.04,N/A,N/A,N/A,N/A,955,1.47946,4.48226,2.75280e+07,2.75280,1.93222,0.12,"24,1"
vib_new_262,124,50x50,0.04,N/A,N/A,N/A,N/A,2279,1.47946,4.48226,2.22121e+07,2.22121,2.11789,0.1,"22,11"
vib_new_1455,124,50x50,0.04,N/A,N/A,N/A,N/A,2169,1.47946,4.48226,3.57294e+07,3.57294,2.52316,0.11,"24,2"
vib_new_787,124,50x50,0.04,N/A,N/A,N/A,N/A,2431,1.47946,4.48226,2.90541e+07,2.90541,2.1554,0.19,"23,11"
vib_new_105,124,50x50,0.04,N/A,N/A,N/A,N/A,3108,1.47946,4.48226,2.68431e+07,2.68431,2.12114,0.18,"25,9"
vib_new_511,124,50x50,0.04,N/A,N/A,N/A,N/A,1722,1.47946,4.48226,2.64995e+07,2.64995,2.6087,0.17,"26,3"
vib_new_878,124,50x50,0.04,N/A,N/A,N/A,N/A,2644,1.47946,4.48226,2.51124e+07,2.51124,2.51119,0.1,"32,25"
vib_new_1110,124,50x50,0.04,N/A,N/A,N/A,N/A,1817,1.47946,4.48226,2.82773e+07,2.82773,1.87716,0.07,"20,0"
vib_new_933,124,50x50,0.04,N/A,N/A,N/A,N/A,2832,1.47946,4.48226,2.44878e+07,2.44878,2.00687,0.24,"28,4"
