Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_1017,481,50x50,0.05,N/A,N/A,N/A,N/A,17365,1.47946,5.37532,2.62287e+07,2.62287,16.7403,0.35,"22,20"
vib_new_1,481,50x50,0.05,N/A,N/A,N/A,N/A,17486,1.47946,5.37532,2.18916e+07,2.18916,16.9835,0.41,"23,17"
vib_new_1016,481,50x50,0.05,N/A,N/A,N/A,N/A,12771,1.47946,5.37532,3.22736e+07,3.22736,16.7234,0.35,"26,22"
vib_new_572,481,50x50,0.05,N/A,N/A,N/A,N/A,13614,1.47946,5.37532,2.75280e+07,2.75280,16.5985,0.39,"27,20"
vib_new_262,481,50x50,0.05,N/A,N/A,N/A,N/A,16456,1.47946,5.37532,2.22121e+07,2.22121,16.8204,0.39,"22,20"
vib_new_1455,481,50x50,0.05,N/A,N/A,N/A,N/A,14617,1.47946,5.37532,3.57294e+07,3.57294,16.8588,0.32,"19,24"
vib_new_787,481,50x50,0.05,N/A,N/A,N/A,N/A,15250,1.47946,5.37532,2.90541e+07,2.90541,16.7478,0.46,"27,24"
vib_new_105,481,50x50,0.05,N/A,N/A,N/A,N/A,17178,1.47946,5.37532,2.68431e+07,2.68431,17.3211,0.4,"28,24"
vib_new_511,481,50x50,0.05,N/A,N/A,N/A,N/A,12547,1.47946,5.37532,2.64995e+07,2.64995,16.752,0.39,"29,26"
vib_new_878,481,50x50,0.05,N/A,N/A,N/A,N/A,14091,1.47946,5.37532,2.51124e+07,2.51124,16.3348,0.31,"25,24"
vib_new_1110,481,50x50,0.05,N/A,N/A,N/A,N/A,12324,1.47946,5.37532,2.82773e+07,2.82773,16.5479,0.39,"26,24"
vib_new_933,481,50x50,0.05,N/A,N/A,N/A,N/A,18538,1.47946,5.37532,2.44878e+07,2.44878,17.1802,0.62,"27,19"
vib_new_582,481,50x50,0.05,N/A,N/A,N/A,N/A,14146,1.47946,5.37532,2.71043e+07,2.71043,16.7525,0.32,"27,24"
vib_new_1241,481,50x50,0.05,N/A,N/A,N/A,N/A,13029,1.47946,5.37532,3.13358e+07,3.13358,16.9436,0.36,"18,19"
vib_new_1191,481,50x50,0.05,N/A,N/A,N/A,N/A,19249,1.47946,5.37532,2.21790e+07,2.21790,16.7518,0.54,"25,23"
vib_new_697,481,50x50,0.05,N/A,N/A,N/A,N/A,16632,1.47946,5.37532,2.16494e+07,2.16494,16.9711,0.37,"26,20"
vib_new_631,481,50x50,0.05,N/A,N/A,N/A,N/A,20374,1.47946,5.37532,2.10496e+07,2.10496,16.717,0.34,"28,26"
vib_new_777,481,50x50,0.05,N/A,N/A,N/A,N/A,14618,1.47946,5.37532,3.06605e+07,3.06605,16.5279,0.29,"19,21"
vib_new_1183,481,50x50,0.05,N/A,N/A,N/A,N/A,18339,1.47946,5.37532,2.40984e+07,2.40984,17.4704,0.45,"18,24"
vib_new_199,481,50x50,0.05,N/A,N/A,N/A,N/A,14434,1.47946,5.37532,3.81188e+07,3.81188,16.7428,0.33,"28,25"
vib_new_229,481,50x50,0.05,N/A,N/A,N/A,N/A,17826,1.47946,5.37532,3.24736e+07,3.24736,17.4357,0.34,"23,23"
vib_new_8,481,50x50,0.05,N/A,N/A,N/A,N/A,13787,1.47946,5.37532,2.71559e+07,2.71559,16.8316,0.33,"28,23"
vib_new_192,481,50x50,0.05,N/A,N/A,N/A,N/A,19682,1.47946,5.37532,2.41892e+07,2.41892,17.6164,0.46,"19,24"
vib_new_1112,481,50x50,0.05,N/A,N/A,N/A,N/A,17819,1.47946,5.37532,2.74612e+07,2.74612,16.8081,0.33,"19,26"
vib_new_1117,481,50x50,0.05,N/A,N/A,N/A,N/A,13340,1.47946,5.37532,2.74080e+07,2.74080,16.7736,0.3,"27,23"
vib_new_1136,481,50x50,0.05,N/A,N/A,N/A,N/A,13228,1.47946,5.37532,2.67201e+07,2.67201,16.7374,0.32,"21,22"
vib_new_365,481,50x50,0.05,N/A,N/A,N/A,N/A,16928,1.47946,5.37532,1.96806e+07,1.96806,16.8418,0.49,"26,24"
vib_new_693,481,50x50,0.05,N/A,N/A,N/A,N/A,13937,1.47946,5.37532,2.74953e+07,2.74953,16.8248,0.34,"19,24"
vib_new_341,481,50x50,0.05,N/A,N/A,N/A,N/A,17100,1.47946,5.37532,2.97166e+07,2.97166,17.1382,0.45,"27,23"
vib_new_256,481,50x50,0.05,N/A,N/A,N/A,N/A,12894,1.47946,5.37532,2.77008e+07,2.77008,17.1414,0.4,"26,16"
vib_new_685,481,50x50,0.05,N/A,N/A,N/A,N/A,16540,1.47946,5.37532,3.12347e+07,3.12347,17.2139,0.41,"19,24"
vib_new_1342,481,50x50,0.05,N/A,N/A,N/A,N/A,18973,1.47946,5.37532,2.27784e+07,2.27784,17.9074,0.48,"18,25"
vib_new_1070,481,50x50,0.05,N/A,N/A,N/A,N/A,15481,1.47946,5.37532,2.46582e+07,2.46582,16.4928,0.28,"23,20"
vib_new_931,481,50x50,0.05,N/A,N/A,N/A,N/A,16163,1.47946,5.37532,2.84247e+07,2.84247,17.1753,0.48,"22,22"
vib_new_705,481,50x50,0.05,N/A,N/A,N/A,N/A,18767,1.47946,5.37532,2.03767e+07,2.03767,16.6128,0.5,"27,24"
vib_new_380,481,50x50,0.05,N/A,N/A,N/A,N/A,13716,1.47946,5.37532,3.23819e+07,3.23819,16.8809,0.3,"19,21"
vib_new_275,481,50x50,0.05,N/A,N/A,N/A,N/A,13566,1.47946,5.37532,2.52221e+07,2.52221,16.9835,0.48,"25,19"
vib_new_908,481,50x50,0.05,N/A,N/A,N/A,N/A,23236,1.47946,5.37532,2.46039e+07,2.46039,17.9199,0.39,"19,18"
vib_new_742,481,50x50,0.05,N/A,N/A,N/A,N/A,16537,1.47946,5.37532,2.78926e+07,2.78926,16.6061,0.3,"23,25"
vib_new_1036,481,50x50,0.05,N/A,N/A,N/A,N/A,14693,1.47946,5.37532,3.07654e+07,3.07654,16.9685,0.45,"28,23"
vib_new_1211,481,50x50,0.05,N/A,N/A,N/A,N/A,12629,1.47946,5.37532,3.07367e+07,3.07367,16.8684,0.32,"26,20"
vib_new_88,481,50x50,0.05,N/A,N/A,N/A,N/A,13708,1.47946,5.37532,2.79766e+07,2.79766,16.8107,0.36,"19,22"
vib_new_1479,481,50x50,0.05,N/A,N/A,N/A,N/A,16498,1.47946,5.37532,2.75689e+07,2.75689,16.968,0.33,"20,22"
vib_new_808,481,50x50,0.05,N/A,N/A,N/A,N/A,18242,1.47946,5.37532,2.15545e+07,2.15545,16.7314,0.46,"17,20"
vib_new_1404,481,50x50,0.05,N/A,N/A,N/A,N/A,12858,1.47946,5.37532,2.54591e+07,2.54591,16.735,0.41,"27,24"
vib_new_1076,481,50x50,0.05,N/A,N/A,N/A,N/A,13099,1.47946,5.37532,3.22550e+07,3.22550,16.6808,0.37,"18,20"
vib_new_811,481,50x50,0.05,N/A,N/A,N/A,N/A,14625,1.47946,5.37532,2.23330e+07,2.23330,16.903,0.4,"18,28"
vib_new_1219,481,50x50,0.05,N/A,N/A,N/A,N/A,12871,1.47946,5.37532,3.49903e+07,3.49903,16.8565,0.29,"26,19"
vib_new_1409,481,50x50,0.05,N/A,N/A,N/A,N/A,15025,1.47946,5.37532,2.29636e+07,2.29636,16.7577,0.45,"28,23"
vib_new_136,481,50x50,0.05,N/A,N/A,N/A,N/A,14468,1.47946,5.37532,2.77793e+07,2.77793,16.7941,0.35,"27,23"
vib_new_794,481,50x50,0.05,N/A,N/A,N/A,N/A,15475,1.47946,5.37532,2.85417e+07,2.85417,16.6532,0.34,"25,24"
vib_new_918,481,50x50,0.05,N/A,N/A,N/A,N/A,14479,1.47946,5.37532,3.22463e+07,3.22463,16.3994,0.26,"28,23"
vib_new_568,481,50x50,0.05,N/A,N/A,N/A,N/A,16406,1.47946,5.37532,2.02506e+07,2.02506,17.5135,0.42,"19,20"
vib_new_1425,481,50x50,0.05,N/A,N/A,N/A,N/A,14184,1.47946,5.37532,3.44750e+07,3.44750,17.0753,0.31,"22,20"
vib_new_713,481,50x50,0.05,N/A,N/A,N/A,N/A,14522,1.47946,5.37532,3.07745e+07,3.07745,17.1246,0.36,"24,21"
vib_new_391,481,50x50,0.05,N/A,N/A,N/A,N/A,15124,1.47946,5.37532,3.07683e+07,3.07683,17.0866,0.3,"21,24"
vib_new_1481,481,50x50,0.05,N/A,N/A,N/A,N/A,15088,1.47946,5.37532,2.69665e+07,2.69665,16.8434,0.47,"28,23"
