Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_1017,407,50x50,0.38,N/A,N/A,N/A,N/A,53816,1.47946,5.44193,2.62287e+07,2.62287,4.65984,0.22,"20,34"
vib_new_1,407,50x50,0.38,N/A,N/A,N/A,N/A,49991,1.47946,5.44193,2.18916e+07,2.18916,4.88735,0.26,"15,18"
vib_new_1016,407,50x50,0.38,N/A,N/A,N/A,N/A,36396,1.47946,5.44193,3.22736e+07,3.22736,5.78966,0.24,"21,34"
vib_new_572,407,50x50,0.38,N/A,N/A,N/A,N/A,38442,1.47946,5.44193,2.75280e+07,2.75280,5.43892,0.34,"21,34"
vib_new_262,407,50x50,0.38,N/A,N/A,N/A,N/A,48949,1.47946,5.44193,2.22121e+07,2.22121,4.40701,0.31,"21,35"
vib_new_1455,407,50x50,0.38,N/A,N/A,N/A,N/A,40101,1.47946,5.44193,3.57294e+07,3.57294,5.26616,0.24,"9,36"
vib_new_787,407,50x50,0.38,N/A,N/A,N/A,N/A,46147,1.47946,5.44193,2.90541e+07,2.90541,4.63079,0.37,"18,28"
vib_new_105,407,50x50,0.38,N/A,N/A,N/A,N/A,38901,1.47946,5.44193,2.68431e+07,2.68431,5.18281,0.24,"39,34"
vib_new_511,407,50x50,0.38,N/A,N/A,N/A,N/A,33468,1.47946,5.44193,2.64995e+07,2.64995,5.06895,0.28,"14,38"
vib_new_878,407,50x50,0.38,N/A,N/A,N/A,N/A,38308,1.47946,5.44193,2.51124e+07,2.51124,4.50346,0.23,"31,26"
vib_new_1110,407,50x50,0.38,N/A,N/A,N/A,N/A,35889,1.47946,5.44193,2.82773e+07,2.82773,4.47398,0.25,"39,25"
vib_new_933,407,50x50,0.38,N/A,N/A,N/A,N/A,43389,1.47946,5.44193,2.44878e+07,2.44878,5.03694,0.34,"33,42"
vib_new_582,407,50x50,0.38,N/A,N/A,N/A,N/A,39389,1.47946,5.44193,2.71043e+07,2.71043,4.34522,0.28,"19,31"
vib_new_1241,407,50x50,0.38,N/A,N/A,N/A,N/A,41032,1.47946,5.44193,3.13358e+07,3.13358,4.85688,0.27,"20,29"
vib_new_1191,407,50x50,0.38,N/A,N/A,N/A,N/A,55344,1.47946,5.44193,2.21790e+07,2.21790,4.54183,0.33,"21,31"
vib_new_697,407,50x50,0.38,N/A,N/A,N/A,N/A,46046,1.47946,5.44193,2.16494e+07,2.16494,5.48752,0.25,"36,18"
vib_new_631,407,50x50,0.38,N/A,N/A,N/A,N/A,52828,1.47946,5.44193,2.10496e+07,2.10496,5.78086,0.24,"32,27"
vib_new_777,407,50x50,0.38,N/A,N/A,N/A,N/A,49206,1.47946,5.44193,3.06605e+07,3.06605,4.70194,0.28,"39,25"
vib_new_1183,407,50x50,0.38,N/A,N/A,N/A,N/A,42585,1.47946,5.44193,2.40984e+07,2.40984,4.50166,0.35,"15,25"
vib_new_178,407,50x50,0.38,N/A,N/A,N/A,N/A,52748,1.47946,5.44193,1.97006e+07,1.97006,5.12708,0.33,"21,31"
