Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_1017,172,50x50,0.07,N/A,N/A,N/A,N/A,21650,1.47946,1.0268,2.62287e+07,2.62287,3.0455,0.2,"32,22"
vib_new_1,172,50x50,0.07,N/A,N/A,N/A,N/A,22281,1.47946,1.0268,2.18916e+07,2.18916,3.26809,0.2,"40,24"
vib_new_1016,172,50x50,0.07,N/A,N/A,N/A,N/A,16720,1.47946,1.0268,3.22736e+07,3.22736,3.4086,0.17,"16,26"
vib_new_572,172,50x50,0.07,N/A,N/A,N/A,N/A,19343,1.47946,1.0268,2.75280e+07,2.75280,3.12022,0.24,"33,36"
vib_new_262,172,50x50,0.07,N/A,N/A,N/A,N/A,21687,1.47946,1.0268,2.22121e+07,2.22121,3.32034,0.21,"14,27"
vib_new_1455,172,50x50,0.07,N/A,N/A,N/A,N/A,19650,1.47946,1.0268,3.57294e+07,3.57294,3.80744,0.16,"9,24"
vib_new_787,172,50x50,0.07,N/A,N/A,N/A,N/A,21573,1.47946,1.0268,2.90541e+07,2.90541,3.61688,0.24,"35,30"
vib_new_105,172,50x50,0.07,N/A,N/A,N/A,N/A,19055,1.47946,1.0268,2.68431e+07,2.68431,3.42936,0.24,"19,23"
vib_new_511,172,50x50,0.07,N/A,N/A,N/A,N/A,16463,1.47946,1.0268,2.64995e+07,2.64995,3.47258,0.29,"20,18"
vib_new_878,172,50x50,0.07,N/A,N/A,N/A,N/A,18041,1.47946,1.0268,2.51124e+07,2.51124,3.43046,0.15,"15,12"
vib_new_1110,172,50x50,0.07,N/A,N/A,N/A,N/A,18798,1.47946,1.0268,2.82773e+07,2.82773,3.35146,0.16,"19,31"
vib_new_933,172,50x50,0.07,N/A,N/A,N/A,N/A,19473,1.47946,1.0268,2.44878e+07,2.44878,3.55291,0.28,"43,22"
vib_new_582,172,50x50,0.07,N/A,N/A,N/A,N/A,20113,1.47946,1.0268,2.71043e+07,2.71043,3.53368,0.24,"20,18"
vib_new_1241,172,50x50,0.07,N/A,N/A,N/A,N/A,18873,1.47946,1.0268,3.13358e+07,3.13358,3.6171,0.25,"37,29"
vib_new_1191,172,50x50,0.07,N/A,N/A,N/A,N/A,25955,1.47946,1.0268,2.21790e+07,2.21790,3.50863,0.26,"31,25"
vib_new_697,172,50x50,0.07,N/A,N/A,N/A,N/A,20482,1.47946,1.0268,2.16494e+07,2.16494,3.50418,0.22,"18,36"
vib_new_631,172,50x50,0.07,N/A,N/A,N/A,N/A,23108,1.47946,1.0268,2.10496e+07,2.10496,3.43438,0.21,"19,12"
vib_new_777,172,50x50,0.07,N/A,N/A,N/A,N/A,21707,1.47946,1.0268,3.06605e+07,3.06605,3.1492,0.21,"24,25"
vib_new_1183,172,50x50,0.07,N/A,N/A,N/A,N/A,20688,1.47946,1.0268,2.40984e+07,2.40984,3.35093,0.21,"20,13"
vib_new_178,172,50x50,0.07,N/A,N/A,N/A,N/A,20913,1.47946,1.0268,1.97006e+07,1.97006,3.4501,0.26,"18,25"
vib_new_199,172,50x50,0.07,N/A,N/A,N/A,N/A,18261,1.47946,1.0268,3.81188e+07,3.81188,3.66572,0.18,"27,18"
vib_new_229,172,50x50,0.07,N/A,N/A,N/A,N/A,19281,1.47946,1.0268,3.24736e+07,3.24736,3.39085,0.18,"24,24"
vib_new_8,172,50x50,0.07,N/A,N/A,N/A,N/A,19411,1.47946,1.0268,2.71559e+07,2.71559,3.71008,0.22,"31,30"
vib_new_192,172,50x50,0.07,N/A,N/A,N/A,N/A,19465,1.47946,1.0268,2.41892e+07,2.41892,3.39018,0.23,"10,22"
vib_new_1112,172,50x50,0.07,N/A,N/A,N/A,N/A,21618,1.47946,1.0268,2.74612e+07,2.74612,3.23432,0.18,"32,24"
vib_new_1117,172,50x50,0.07,N/A,N/A,N/A,N/A,19688,1.47946,1.0268,2.74080e+07,2.74080,3.42526,0.16,"19,35"
vib_new_1136,172,50x50,0.07,N/A,N/A,N/A,N/A,17480,1.47946,1.0268,2.67201e+07,2.67201,3.73768,0.21,"15,10"
vib_new_365,172,50x50,0.07,N/A,N/A,N/A,N/A,21994,1.47946,1.0268,1.96806e+07,1.96806,3.47516,0.29,"37,37"
vib_new_693,172,50x50,0.07,N/A,N/A,N/A,N/A,18960,1.47946,1.0268,2.74953e+07,2.74953,3.46424,0.2,"20,18"
vib_new_341,172,50x50,0.07,N/A,N/A,N/A,N/A,20305,1.47946,1.0268,2.97166e+07,2.97166,3.27522,0.23,"21,23"
vib_new_256,172,50x50,0.07,N/A,N/A,N/A,N/A,17840,1.47946,1.0268,2.77008e+07,2.77008,3.5891,0.19,"33,25"
vib_new_685,172,50x50,0.07,N/A,N/A,N/A,N/A,19573,1.47946,1.0268,3.12347e+07,3.12347,3.34824,0.19,"9,24"
vib_new_1342,172,50x50,0.07,N/A,N/A,N/A,N/A,20022,1.47946,1.0268,2.27784e+07,2.27784,3.65778,0.25,"15,12"
vib_new_1070,172,50x50,0.07,N/A,N/A,N/A,N/A,19862,1.47946,1.0268,2.46582e+07,2.46582,3.36876,0.18,"38,37"
vib_new_931,172,50x50,0.07,N/A,N/A,N/A,N/A,22270,1.47946,1.0268,2.84247e+07,2.84247,3.31906,0.25,"16,21"
