Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_1017,1183,50x50,0.12,N/A,N/A,N/A,N/A,27925,1.47946,1.45967,2.62287e+07,2.62287,3.69589,0.42,"23,16"
vib_new_1,1183,50x50,0.12,N/A,N/A,N/A,N/A,24678,1.47946,1.45967,2.18916e+07,2.18916,3.31473,0.46,"22,18"
vib_new_1016,1183,50x50,0.12,N/A,N/A,N/A,N/A,14950,1.47946,1.45967,3.22736e+07,3.22736,3.314,0.37,"23,16"
vib_new_572,1183,50x50,0.12,N/A,N/A,N/A,N/A,17637,1.47946,1.45967,2.75280e+07,2.75280,3.16361,0.46,"23,16"
vib_new_262,1183,50x50,0.12,N/A,N/A,N/A,N/A,21758,1.47946,1.45967,2.22121e+07,2.22121,3.18119,0.46,"24,18"
vib_new_1455,1183,50x50,0.12,N/A,N/A,N/A,N/A,17641,1.47946,1.45967,3.57294e+07,3.57294,3.37658,0.36,"23,19"
vib_new_787,1183,50x50,0.12,N/A,N/A,N/A,N/A,21200,1.47946,1.45967,2.90541e+07,2.90541,3.41724,0.46,"22,18"
vib_new_105,1183,50x50,0.12,N/A,N/A,N/A,N/A,26776,1.47946,1.45967,2.68431e+07,2.68431,3.87219,0.46,"24,17"
vib_new_511,1183,50x50,0.12,N/A,N/A,N/A,N/A,15250,1.47946,1.45967,2.64995e+07,2.64995,3.18882,0.46,"24,19"
vib_new_878,1183,50x50,0.12,N/A,N/A,N/A,N/A,17798,1.47946,1.45967,2.51124e+07,2.51124,3.34926,0.39,"22,18"
vib_new_1110,1183,50x50,0.12,N/A,N/A,N/A,N/A,17597,1.47946,1.45967,2.82773e+07,2.82773,3.15124,0.37,"23,18"
vib_new_933,1183,50x50,0.12,N/A,N/A,N/A,N/A,28646,1.47946,1.45967,2.44878e+07,2.44878,3.61503,0.62,"23,17"
vib_new_582,1183,50x50,0.12,N/A,N/A,N/A,N/A,18000,1.47946,1.45967,2.71043e+07,2.71043,3.18302,0.44,"24,17"
vib_new_1241,1183,50x50,0.12,N/A,N/A,N/A,N/A,17541,1.47946,1.45967,3.13358e+07,3.13358,3.31844,0.36,"22,20"
vib_new_1191,1183,50x50,0.12,N/A,N/A,N/A,N/A,25421,1.47946,1.45967,2.21790e+07,2.21790,3.30946,0.54,"22,17"
vib_new_697,1183,50x50,0.12,N/A,N/A,N/A,N/A,21223,1.47946,1.45967,2.16494e+07,2.16494,3.32205,0.4,"23,18"
vib_new_631,1183,50x50,0.12,N/A,N/A,N/A,N/A,26159,1.47946,1.45967,2.10496e+07,2.10496,3.35484,0.44,"22,14"
vib_new_777,1183,50x50,0.12,N/A,N/A,N/A,N/A,19799,1.47946,1.45967,3.06605e+07,3.06605,3.28018,0.35,"23,19"
vib_new_1183,1183,50x50,0.12,N/A,N/A,N/A,N/A,32252,1.47946,1.45967,2.40984e+07,2.40984,3.73429,0.65,"24,16"
vib_new_199,1183,50x50,0.12,N/A,N/A,N/A,N/A,18517,1.47946,1.45967,3.81188e+07,3.81188,3.31049,0.41,"24,16"
vib_new_229,1183,50x50,0.12,N/A,N/A,N/A,N/A,24693,1.47946,1.45967,3.24736e+07,3.24736,3.61886,0.38,"23,16"
vib_new_8,1183,50x50,0.12,N/A,N/A,N/A,N/A,17120,1.47946,1.45967,2.71559e+07,2.71559,3.24866,0.44,"24,18"
vib_new_192,1183,50x50,0.12,N/A,N/A,N/A,N/A,30414,1.47946,1.45967,2.41892e+07,2.41892,3.91646,0.57,"24,17"
vib_new_1112,1183,50x50,0.12,N/A,N/A,N/A,N/A,23626,1.47946,1.45967,2.74612e+07,2.74612,3.35728,0.4,"24,19"
vib_new_1117,1183,50x50,0.12,N/A,N/A,N/A,N/A,17223,1.47946,1.45967,2.74080e+07,2.74080,3.35455,0.34,"22,15"
vib_new_1136,1183,50x50,0.12,N/A,N/A,N/A,N/A,17088,1.47946,1.45967,2.67201e+07,2.67201,3.20545,0.44,"24,15"
vib_new_365,1183,50x50,0.12,N/A,N/A,N/A,N/A,23178,1.47946,1.45967,1.96806e+07,1.96806,3.37061,0.61,"23,16"
vib_new_693,1183,50x50,0.12,N/A,N/A,N/A,N/A,18181,1.47946,1.45967,2.74953e+07,2.74953,3.1741,0.41,"22,15"
vib_new_341,1183,50x50,0.12,N/A,N/A,N/A,N/A,26482,1.47946,1.45967,2.97166e+07,2.97166,3.60857,0.51,"23,19"
vib_new_256,1183,50x50,0.12,N/A,N/A,N/A,N/A,18574,1.47946,1.45967,2.77008e+07,2.77008,3.4983,0.4,"22,17"
vib_new_685,1183,50x50,0.12,N/A,N/A,N/A,N/A,25138,1.47946,1.45967,3.12347e+07,3.12347,3.4388,0.48,"24,19"
vib_new_1342,1183,50x50,0.12,N/A,N/A,N/A,N/A,29447,1.47946,1.45967,2.27784e+07,2.27784,3.68014,0.59,"22,16"
vib_new_1070,1183,50x50,0.12,N/A,N/A,N/A,N/A,21996,1.47946,1.45967,2.46582e+07,2.46582,3.29006,0.35,"24,19"
vib_new_931,1183,50x50,0.12,N/A,N/A,N/A,N/A,20902,1.47946,1.45967,2.84247e+07,2.84247,3.34038,0.52,"23,17"
vib_new_705,1183,50x50,0.12,N/A,N/A,N/A,N/A,24738,1.47946,1.45967,2.03767e+07,2.03767,3.24719,0.57,"24,14"
vib_new_380,1183,50x50,0.12,N/A,N/A,N/A,N/A,18936,1.47946,1.45967,3.23819e+07,3.23819,3.42918,0.38,"23,18"
vib_new_275,1183,50x50,0.12,N/A,N/A,N/A,N/A,18639,1.47946,1.45967,2.52221e+07,2.52221,3.40235,0.48,"23,15"
