Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_1017,2774,50x50,0.19,N/A,N/A,N/A,N/A,102582,1.47946,2.16484,2.62287e+07,2.62287,8.25895,0.58,"26,26"
vib_new_1,2774,50x50,0.19,N/A,N/A,N/A,N/A,93381,1.47946,2.16484,2.18916e+07,2.18916,7.87424,0.68,"26,22"
vib_new_1016,2774,50x50,0.19,N/A,N/A,N/A,N/A,51718,1.47946,2.16484,3.22736e+07,3.22736,7.85178,0.49,"27,19"
vib_new_572,2774,50x50,0.19,N/A,N/A,N/A,N/A,59606,1.47946,2.16484,2.75280e+07,2.75280,7.80985,0.57,"25,27"
vib_new_262,2774,50x50,0.19,N/A,N/A,N/A,N/A,91796,1.47946,2.16484,2.22121e+07,2.22121,7.87033,0.68,"23,19"
vib_new_1455,2774,50x50,0.19,N/A,N/A,N/A,N/A,58002,1.47946,2.16484,3.57294e+07,3.57294,8.11427,0.46,"24,20"
vib_new_787,2774,50x50,0.19,N/A,N/A,N/A,N/A,68363,1.47946,2.16484,2.90541e+07,2.90541,8.15791,0.71,"25,19"
vib_new_105,2774,50x50,0.19,N/A,N/A,N/A,N/A,98051,1.47946,2.16484,2.68431e+07,2.68431,9.26119,0.66,"25,18"
vib_new_511,2774,50x50,0.19,N/A,N/A,N/A,N/A,53103,1.47946,2.16484,2.64995e+07,2.64995,7.83383,0.62,"26,26"
vib_new_878,2774,50x50,0.19,N/A,N/A,N/A,N/A,56842,1.47946,2.16484,2.51124e+07,2.51124,8.23857,0.54,"28,25"
vib_new_1110,2774,50x50,0.19,N/A,N/A,N/A,N/A,55724,1.47946,2.16484,2.82773e+07,2.82773,7.45421,0.51,"26,18"
vib_new_933,2774,50x50,0.19,N/A,N/A,N/A,N/A,106865,1.47946,2.16484,2.44878e+07,2.44878,9.63619,0.84,"26,19"
vib_new_582,2774,50x50,0.19,N/A,N/A,N/A,N/A,60343,1.47946,2.16484,2.71043e+07,2.71043,8.02913,0.55,"25,19"
vib_new_1241,2774,50x50,0.19,N/A,N/A,N/A,N/A,58109,1.47946,2.16484,3.13358e+07,3.13358,8.36869,0.58,"26,21"
vib_new_1191,2774,50x50,0.19,N/A,N/A,N/A,N/A,92889,1.47946,2.16484,2.21790e+07,2.21790,8.17778,0.82,"30,21"
vib_new_697,2774,50x50,0.19,N/A,N/A,N/A,N/A,85084,1.47946,2.16484,2.16494e+07,2.16494,8.22753,0.65,"28,21"
vib_new_631,2774,50x50,0.19,N/A,N/A,N/A,N/A,131878,1.47946,2.16484,2.10496e+07,2.10496,9.34601,0.63,"22,20"
vib_new_777,2774,50x50,0.19,N/A,N/A,N/A,N/A,66982,1.47946,2.16484,3.06605e+07,3.06605,8.11375,0.48,"26,19"
vib_new_1183,2774,50x50,0.19,N/A,N/A,N/A,N/A,105795,1.47946,2.16484,2.40984e+07,2.40984,9.28472,0.86,"27,20"
