Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_1017,1145,50x50,0.12,N/A,N/A,N/A,N/A,33889,1.47946,1.39655,2.62287e+07,2.62287,3.83001,0.32,"30,21"
vib_new_1,1145,50x50,0.12,N/A,N/A,N/A,N/A,31666,1.47946,1.39655,2.18916e+07,2.18916,3.94945,0.42,"25,13"
vib_new_1016,1145,50x50,0.12,N/A,N/A,N/A,N/A,23220,1.47946,1.39655,3.22736e+07,3.22736,3.92292,0.38,"26,25"
vib_new_572,1145,50x50,0.12,N/A,N/A,N/A,N/A,25351,1.47946,1.39655,2.75280e+07,2.75280,3.99395,0.39,"30,17"
vib_new_262,1145,50x50,0.12,N/A,N/A,N/A,N/A,29175,1.47946,1.39655,2.22121e+07,2.22121,3.78916,0.4,"18,19"
vib_new_1455,1145,50x50,0.12,N/A,N/A,N/A,N/A,24813,1.47946,1.39655,3.57294e+07,3.57294,3.84731,0.27,"22,23"
vib_new_787,1145,50x50,0.12,N/A,N/A,N/A,N/A,30584,1.47946,1.39655,2.90541e+07,2.90541,3.82813,0.42,"22,24"
vib_new_105,1145,50x50,0.12,N/A,N/A,N/A,N/A,32032,1.47946,1.39655,2.68431e+07,2.68431,3.82301,0.42,"28,13"
vib_new_511,1145,50x50,0.12,N/A,N/A,N/A,N/A,22756,1.47946,1.39655,2.64995e+07,2.64995,4.06767,0.43,"27,19"
vib_new_878,1145,50x50,0.12,N/A,N/A,N/A,N/A,23750,1.47946,1.39655,2.51124e+07,2.51124,4.00787,0.33,"30,20"
vib_new_1110,1145,50x50,0.12,N/A,N/A,N/A,N/A,23099,1.47946,1.39655,2.82773e+07,2.82773,3.75801,0.31,"25,22"
vib_new_933,1145,50x50,0.12,N/A,N/A,N/A,N/A,35946,1.47946,1.39655,2.44878e+07,2.44878,3.82643,0.58,"30,20"
vib_new_582,1145,50x50,0.12,N/A,N/A,N/A,N/A,24337,1.47946,1.39655,2.71043e+07,2.71043,3.75909,0.39,"30,13"
vib_new_1241,1145,50x50,0.12,N/A,N/A,N/A,N/A,24985,1.47946,1.39655,3.13358e+07,3.13358,3.95661,0.36,"26,13"
vib_new_1191,1145,50x50,0.12,N/A,N/A,N/A,N/A,36116,1.47946,1.39655,2.21790e+07,2.21790,3.82671,0.56,"31,21"
vib_new_697,1145,50x50,0.12,N/A,N/A,N/A,N/A,29239,1.47946,1.39655,2.16494e+07,2.16494,3.95463,0.37,"30,17"
vib_new_631,1145,50x50,0.12,N/A,N/A,N/A,N/A,33915,1.47946,1.39655,2.10496e+07,2.10496,3.90267,0.39,"29,19"
vib_new_777,1145,50x50,0.12,N/A,N/A,N/A,N/A,28446,1.47946,1.39655,3.06605e+07,3.06605,3.87451,0.28,"29,25"
vib_new_1183,1145,50x50,0.12,N/A,N/A,N/A,N/A,37121,1.47946,1.39655,2.40984e+07,2.40984,3.76678,0.52,"22,17"
vib_new_178,1145,50x50,0.12,N/A,N/A,N/A,N/A,46981,1.47946,1.39655,1.97006e+07,1.97006,4.39912,0.57,"27,15"
vib_new_199,1145,50x50,0.12,N/A,N/A,N/A,N/A,25133,1.47946,1.39655,3.81188e+07,3.81188,4.08508,0.26,"18,18"
vib_new_229,1145,50x50,0.12,N/A,N/A,N/A,N/A,31665,1.47946,1.39655,3.24736e+07,3.24736,3.89587,0.35,"28,19"
vib_new_8,1145,50x50,0.12,N/A,N/A,N/A,N/A,25773,1.47946,1.39655,2.71559e+07,2.71559,3.98797,0.42,"28,21"
vib_new_192,1145,50x50,0.12,N/A,N/A,N/A,N/A,37752,1.47946,1.39655,2.41892e+07,2.41892,3.98905,0.48,"23,20"
vib_new_1112,1145,50x50,0.12,N/A,N/A,N/A,N/A,31959,1.47946,1.39655,2.74612e+07,2.74612,3.82494,0.36,"31,20"
vib_new_1117,1145,50x50,0.12,N/A,N/A,N/A,N/A,24118,1.47946,1.39655,2.74080e+07,2.74080,3.87409,0.33,"22,22"
vib_new_1136,1145,50x50,0.12,N/A,N/A,N/A,N/A,24154,1.47946,1.39655,2.67201e+07,2.67201,4.10869,0.34,"28,19"
vib_new_365,1145,50x50,0.12,N/A,N/A,N/A,N/A,31506,1.47946,1.39655,1.96806e+07,1.96806,3.78636,0.46,"31,20"
vib_new_693,1145,50x50,0.12,N/A,N/A,N/A,N/A,26893,1.47946,1.39655,2.74953e+07,2.74953,3.92861,0.38,"16,25"
vib_new_341,1145,50x50,0.12,N/A,N/A,N/A,N/A,33306,1.47946,1.39655,2.97166e+07,2.97166,3.87761,0.46,"24,17"
vib_new_256,1145,50x50,0.12,N/A,N/A,N/A,N/A,24848,1.47946,1.39655,2.77008e+07,2.77008,3.94513,0.33,"23,15"
vib_new_685,1145,50x50,0.12,N/A,N/A,N/A,N/A,32501,1.47946,1.39655,3.12347e+07,3.12347,3.9723,0.37,"18,19"
vib_new_1342,1145,50x50,0.12,N/A,N/A,N/A,N/A,36120,1.47946,1.39655,2.27784e+07,2.27784,4.11327,0.48,"30,25"
vib_new_1070,1145,50x50,0.12,N/A,N/A,N/A,N/A,27986,1.47946,1.39655,2.46582e+07,2.46582,3.71009,0.31,"28,22"
vib_new_931,1145,50x50,0.12,N/A,N/A,N/A,N/A,29396,1.47946,1.39655,2.84247e+07,2.84247,3.91371,0.48,"26,19"
vib_new_705,1145,50x50,0.12,N/A,N/A,N/A,N/A,32379,1.47946,1.39655,2.03767e+07,2.03767,3.79589,0.55,"23,19"
vib_new_380,1145,50x50,0.12,N/A,N/A,N/A,N/A,26106,1.47946,1.39655,3.23819e+07,3.23819,3.79229,0.31,"31,19"
vib_new_275,1145,50x50,0.12,N/A,N/A,N/A,N/A,24866,1.47946,1.39655,2.52221e+07,2.52221,3.86139,0.43,"31,13"
vib_new_742,1145,50x50,0.12,N/A,N/A,N/A,N/A,29246,1.47946,1.39655,2.78926e+07,2.78926,3.73619,0.37,"27,19"
vib_new_1036,1145,50x50,0.12,N/A,N/A,N/A,N/A,25822,1.47946,1.39655,3.07654e+07,3.07654,3.74663,0.31,"34,17"
vib_new_1211,1145,50x50,0.12,N/A,N/A,N/A,N/A,23593,1.47946,1.39655,3.07367e+07,3.07367,4.06183,0.39,"27,19"
vib_new_88,1145,50x50,0.12,N/A,N/A,N/A,N/A,25883,1.47946,1.39655,2.79766e+07,2.79766,3.93253,0.35,"28,23"
vib_new_1479,1145,50x50,0.12,N/A,N/A,N/A,N/A,31810,1.47946,1.39655,2.75689e+07,2.75689,3.87493,0.36,"24,18"
vib_new_808,1145,50x50,0.12,N/A,N/A,N/A,N/A,31477,1.47946,1.39655,2.15545e+07,2.15545,3.97337,0.44,"35,23"
vib_new_1404,1145,50x50,0.12,N/A,N/A,N/A,N/A,23424,1.47946,1.39655,2.54591e+07,2.54591,3.78229,0.4,"28,19"
vib_new_1076,1145,50x50,0.12,N/A,N/A,N/A,N/A,25427,1.47946,1.39655,3.22550e+07,3.22550,3.77487,0.26,"33,22"
vib_new_811,1145,50x50,0.12,N/A,N/A,N/A,N/A,25136,1.47946,1.39655,2.23330e+07,2.23330,3.88493,0.51,"26,21"
vib_new_1219,1145,50x50,0.12,N/A,N/A,N/A,N/A,24194,1.47946,1.39655,3.49903e+07,3.49903,3.79332,0.28,"18,24"
vib_new_1409,1145,50x50,0.12,N/A,N/A,N/A,N/A,26131,1.47946,1.39655,2.29636e+07,2.29636,3.97642,0.44,"25,20"
vib_new_136,1145,50x50,0.12,N/A,N/A,N/A,N/A,26436,1.47946,1.39655,2.77793e+07,2.77793,3.96833,0.35,"25,21"
vib_new_794,1145,50x50,0.12,N/A,N/A,N/A,N/A,29861,1.47946,1.39655,2.85417e+07,2.85417,3.81111,0.32,"28,23"
vib_new_918,1145,50x50,0.12,N/A,N/A,N/A,N/A,26327,1.47946,1.39655,3.22463e+07,3.22463,3.73541,0.27,"26,14"
vib_new_568,1145,50x50,0.12,N/A,N/A,N/A,N/A,29938,1.47946,1.39655,2.02506e+07,2.02506,4.08725,0.43,"28,13"
vib_new_1425,1145,50x50,0.12,N/A,N/A,N/A,N/A,27779,1.47946,1.39655,3.44750e+07,3.44750,3.86395,0.32,"30,19"
vib_new_713,1145,50x50,0.12,N/A,N/A,N/A,N/A,28479,1.47946,1.39655,3.07745e+07,3.07745,3.80219,0.36,"23,21"
vib_new_391,1145,50x50,0.12,N/A,N/A,N/A,N/A,29620,1.47946,1.39655,3.07683e+07,3.07683,3.74616,0.32,"23,23"
