Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_1017,9178,50x50,0.70,N/A,N/A,N/A,N/A,155461,1.47946,1.00693,2.62287e+07,2.62287,3.87053,0.39,"23,35"
vib_new_1,9178,50x50,0.70,N/A,N/A,N/A,N/A,157722,1.47946,1.00693,2.18916e+07,2.18916,4.10819,0.47,"34,26"
vib_new_1016,9178,50x50,0.70,N/A,N/A,N/A,N/A,109839,1.47946,1.00693,3.22736e+07,3.22736,3.98368,0.38,"27,32"
vib_new_572,9178,50x50,0.70,N/A,N/A,N/A,N/A,113136,1.47946,1.00693,2.75280e+07,2.75280,3.97123,0.41,"36,16"
vib_new_262,9178,50x50,0.70,N/A,N/A,N/A,N/A,136267,1.47946,1.00693,2.22121e+07,2.22121,3.92483,0.47,"28,32"
vib_new_1455,9178,50x50,0.70,N/A,N/A,N/A,N/A,113561,1.47946,1.00693,3.57294e+07,3.57294,4.01751,0.33,"26,7"
vib_new_787,9178,50x50,0.70,N/A,N/A,N/A,N/A,133925,1.47946,1.00693,2.90541e+07,2.90541,3.95565,0.5,"39,17"
vib_new_511,9178,50x50,0.70,N/A,N/A,N/A,N/A,102347,1.47946,1.00693,2.64995e+07,2.64995,4.08397,0.47,"36,26"
vib_new_878,9178,50x50,0.70,N/A,N/A,N/A,N/A,110203,1.47946,1.00693,2.51124e+07,2.51124,3.90889,0.37,"12,33"
vib_new_1110,9178,50x50,0.70,N/A,N/A,N/A,N/A,110877,1.47946,1.00693,2.82773e+07,2.82773,3.93673,0.39,"29,16"
vib_new_582,9178,50x50,0.70,N/A,N/A,N/A,N/A,119265,1.47946,1.00693,2.71043e+07,2.71043,3.95873,0.43,"24,29"
vib_new_1241,9178,50x50,0.70,N/A,N/A,N/A,N/A,108827,1.47946,1.00693,3.13358e+07,3.13358,4.03073,0.42,"29,44"
vib_new_1191,9178,50x50,0.70,N/A,N/A,N/A,N/A,149732,1.47946,1.00693,2.21790e+07,2.21790,3.88113,0.5,"34,26"
vib_new_697,9178,50x50,0.70,N/A,N/A,N/A,N/A,143193,1.47946,1.00693,2.16494e+07,2.16494,3.82241,0.42,"29,18"
vib_new_631,9178,50x50,0.70,N/A,N/A,N/A,N/A,154330,1.47946,1.00693,2.10496e+07,2.10496,4.06933,0.42,"18,35"
vib_new_777,9178,50x50,0.70,N/A,N/A,N/A,N/A,130904,1.47946,1.00693,3.06605e+07,3.06605,3.88691,0.33,"27,26"
