Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_1016,12276,50x50,0.75,N/A,N/A,N/A,N/A,214665,1.47946,1.0756,3.22736e+07,3.22736,10.6406,0.57,"26,22"
vib_new_572,12276,50x50,0.75,N/A,N/A,N/A,N/A,246611,1.47946,1.0756,2.75280e+07,2.75280,10.06,0.69,"26,26"
vib_new_1455,12276,50x50,0.75,N/A,N/A,N/A,N/A,234291,1.47946,1.0756,3.57294e+07,3.57294,10.4368,0.53,"31,22"
vib_new_787,12276,50x50,0.75,N/A,N/A,N/A,N/A,271944,1.47946,1.0756,2.90541e+07,2.90541,9.96025,0.77,"28,18"
vib_new_511,12276,50x50,0.75,N/A,N/A,N/A,N/A,222693,1.47946,1.0756,2.64995e+07,2.64995,10.4035,0.78,"30,25"
vib_new_878,12276,50x50,0.75,N/A,N/A,N/A,N/A,250747,1.47946,1.0756,2.51124e+07,2.51124,9.67121,0.68,"37,21"
vib_new_1110,12276,50x50,0.75,N/A,N/A,N/A,N/A,231297,1.47946,1.0756,2.82773e+07,2.82773,8.96838,0.63,"30,24"
vib_new_582,12276,50x50,0.75,N/A,N/A,N/A,N/A,238232,1.47946,1.0756,2.71043e+07,2.71043,10.0634,0.62,"37,17"
vib_new_1241,12276,50x50,0.75,N/A,N/A,N/A,N/A,224554,1.47946,1.0756,3.13358e+07,3.13358,10.422,0.66,"30,16"
vib_new_777,12276,50x50,0.75,N/A,N/A,N/A,N/A,279219,1.47946,1.0756,3.06605e+07,3.06605,9.79354,0.54,"27,25"
vib_new_199,12276,50x50,0.75,N/A,N/A,N/A,N/A,242591,1.47946,1.0756,3.81188e+07,3.81188,10.3778,0.54,"27,16"
vib_new_8,12276,50x50,0.75,N/A,N/A,N/A,N/A,263096,1.47946,1.0756,2.71559e+07,2.71559,10.9844,0.67,"28,27"
vib_new_1112,12276,50x50,0.75,N/A,N/A,N/A,N/A,307747,1.47946,1.0756,2.74612e+07,2.74612,10.4525,0.65,"32,19"
vib_new_1117,12276,50x50,0.75,N/A,N/A,N/A,N/A,245203,1.47946,1.0756,2.74080e+07,2.74080,9.99599,0.6,"28,27"
vib_new_1136,12276,50x50,0.75,N/A,N/A,N/A,N/A,264485,1.47946,1.0756,2.67201e+07,2.67201,11.5583,0.65,"30,24"
vib_new_693,12276,50x50,0.75,N/A,N/A,N/A,N/A,243472,1.47946,1.0756,2.74953e+07,2.74953,9.80065,0.58,"27,18"
vib_new_341,12276,50x50,0.75,N/A,N/A,N/A,N/A,323987,1.47946,1.0756,2.97166e+07,2.97166,10.5745,0.69,"36,34"
vib_new_256,12276,50x50,0.75,N/A,N/A,N/A,N/A,239216,1.47946,1.0756,2.77008e+07,2.77008,10.6988,0.64,"25,26"
vib_new_685,12276,50x50,0.75,N/A,N/A,N/A,N/A,312880,1.47946,1.0756,3.12347e+07,3.12347,10.6626,0.64,"29,19"
vib_new_931,12276,50x50,0.75,N/A,N/A,N/A,N/A,268061,1.47946,1.0756,2.84247e+07,2.84247,9.73541,0.83,"27,20"
vib_new_380,12276,50x50,0.75,N/A,N/A,N/A,N/A,247189,1.47946,1.0756,3.23819e+07,3.23819,9.16032,0.54,"42,24"
vib_new_275,12276,50x50,0.75,N/A,N/A,N/A,N/A,252806,1.47946,1.0756,2.52221e+07,2.52221,9.57885,0.84,"30,21"
vib_new_742,12276,50x50,0.75,N/A,N/A,N/A,N/A,294736,1.47946,1.0756,2.78926e+07,2.78926,9.78166,0.65,"30,19"
vib_new_1036,12276,50x50,0.75,N/A,N/A,N/A,N/A,251479,1.47946,1.0756,3.07654e+07,3.07654,9.62532,0.7,"27,24"
vib_new_1211,12276,50x50,0.75,N/A,N/A,N/A,N/A,212771,1.47946,1.0756,3.07367e+07,3.07367,10.6053,0.68,"27,17"
vib_new_88,12276,50x50,0.75,N/A,N/A,N/A,N/A,242211,1.47946,1.0756,2.79766e+07,2.79766,10.0438,0.59,"36,32"
vib_new_1404,12276,50x50,0.75,N/A,N/A,N/A,N/A,224091,1.47946,1.0756,2.54591e+07,2.54591,10.1023,0.75,"26,19"
vib_new_1076,12276,50x50,0.75,N/A,N/A,N/A,N/A,237637,1.47946,1.0756,3.22550e+07,3.22550,9.48623,0.59,"37,24"
vib_new_1219,12276,50x50,0.75,N/A,N/A,N/A,N/A,224055,1.47946,1.0756,3.49903e+07,3.49903,10.0883,0.49,"37,33"
vib_new_136,12276,50x50,0.75,N/A,N/A,N/A,N/A,250283,1.47946,1.0756,2.77793e+07,2.77793,10.0857,0.56,"27,22"
vib_new_794,12276,50x50,0.75,N/A,N/A,N/A,N/A,303432,1.47946,1.0756,2.85417e+07,2.85417,9.6008,0.6,"31,29"
