Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_1017,2480,50x50,0.13,N/A,N/A,N/A,N/A,54988,1.47946,1.70844,2.62287e+07,2.62287,7.13045,0.52,"24,27"
vib_new_1,2480,50x50,0.13,N/A,N/A,N/A,N/A,47904,1.47946,1.70844,2.18916e+07,2.18916,7.30039,0.59,"27,23"
vib_new_1016,2480,50x50,0.13,N/A,N/A,N/A,N/A,23915,1.47946,1.70844,3.22736e+07,3.22736,6.61813,0.35,"25,19"
vib_new_572,2480,50x50,0.13,N/A,N/A,N/A,N/A,26513,1.47946,1.70844,2.75280e+07,2.75280,6.27603,0.46,"26,26"
vib_new_262,2480,50x50,0.13,N/A,N/A,N/A,N/A,46001,1.47946,1.70844,2.22121e+07,2.22121,7.42772,0.57,"26,18"
vib_new_1455,2480,50x50,0.13,N/A,N/A,N/A,N/A,28306,1.47946,1.70844,3.57294e+07,3.57294,6.40585,0.33,"26,26"
vib_new_787,2480,50x50,0.13,N/A,N/A,N/A,N/A,33901,1.47946,1.70844,2.90541e+07,2.90541,6.7787,0.53,"25,21"
vib_new_105,2480,50x50,0.13,N/A,N/A,N/A,N/A,52000,1.47946,1.70844,2.68431e+07,2.68431,8.19249,0.55,"29,23"
vib_new_511,2480,50x50,0.13,N/A,N/A,N/A,N/A,24228,1.47946,1.70844,2.64995e+07,2.64995,6.33517,0.47,"26,23"
vib_new_878,2480,50x50,0.13,N/A,N/A,N/A,N/A,27748,1.47946,1.70844,2.51124e+07,2.51124,6.62473,0.36,"24,20"
vib_new_1110,2480,50x50,0.13,N/A,N/A,N/A,N/A,26137,1.47946,1.70844,2.82773e+07,2.82773,6.39705,0.35,"23,21"
vib_new_933,2480,50x50,0.13,N/A,N/A,N/A,N/A,60396,1.47946,1.70844,2.44878e+07,2.44878,7.57934,0.75,"22,21"
vib_new_582,2480,50x50,0.13,N/A,N/A,N/A,N/A,27129,1.47946,1.70844,2.71043e+07,2.71043,6.56411,0.38,"24,23"
vib_new_1241,2480,50x50,0.13,N/A,N/A,N/A,N/A,25756,1.47946,1.70844,3.13358e+07,3.13358,7.08501,0.45,"25,22"
vib_new_1191,2480,50x50,0.13,N/A,N/A,N/A,N/A,46678,1.47946,1.70844,2.21790e+07,2.21790,6.73362,0.68,"25,25"
vib_new_697,2480,50x50,0.13,N/A,N/A,N/A,N/A,41210,1.47946,1.70844,2.16494e+07,2.16494,6.70603,0.49,"25,27"
vib_new_631,2480,50x50,0.13,N/A,N/A,N/A,N/A,58442,1.47946,1.70844,2.10496e+07,2.10496,7.27448,0.53,"28,26"
vib_new_777,2480,50x50,0.13,N/A,N/A,N/A,N/A,34077,1.47946,1.70844,3.06605e+07,3.06605,6.49511,0.35,"30,19"
vib_new_1183,2480,50x50,0.13,N/A,N/A,N/A,N/A,63875,1.47946,1.70844,2.40984e+07,2.40984,7.93605,0.74,"26,21"
vib_new_199,2480,50x50,0.13,N/A,N/A,N/A,N/A,29976,1.47946,1.70844,3.81188e+07,3.81188,6.5585,0.39,"26,25"
vib_new_229,2480,50x50,0.13,N/A,N/A,N/A,N/A,44845,1.47946,1.70844,3.24736e+07,3.24736,7.48491,0.44,"28,24"
vib_new_8,2480,50x50,0.13,N/A,N/A,N/A,N/A,28500,1.47946,1.70844,2.71559e+07,2.71559,6.63533,0.45,"25,19"
vib_new_192,2480,50x50,0.13,N/A,N/A,N/A,N/A,61005,1.47946,1.70844,2.41892e+07,2.41892,7.85533,0.65,"30,21"
vib_new_1112,2480,50x50,0.13,N/A,N/A,N/A,N/A,40926,1.47946,1.70844,2.74612e+07,2.74612,6.85763,0.44,"25,21"
vib_new_1117,2480,50x50,0.13,N/A,N/A,N/A,N/A,28014,1.47946,1.70844,2.74080e+07,2.74080,6.29011,0.36,"25,23"
vib_new_1136,2480,50x50,0.13,N/A,N/A,N/A,N/A,30109,1.47946,1.70844,2.67201e+07,2.67201,6.46017,0.42,"31,24"
vib_new_365,2480,50x50,0.13,N/A,N/A,N/A,N/A,40843,1.47946,1.70844,1.96806e+07,1.96806,6.58751,0.63,"25,25"
vib_new_693,2480,50x50,0.13,N/A,N/A,N/A,N/A,28120,1.47946,1.70844,2.74953e+07,2.74953,6.54147,0.37,"27,22"
vib_new_341,2480,50x50,0.13,N/A,N/A,N/A,N/A,45470,1.47946,1.70844,2.97166e+07,2.97166,7.40298,0.53,"28,27"
vib_new_256,2480,50x50,0.13,N/A,N/A,N/A,N/A,30159,1.47946,1.70844,2.77008e+07,2.77008,6.66495,0.42,"25,23"
vib_new_685,2480,50x50,0.13,N/A,N/A,N/A,N/A,43061,1.47946,1.70844,3.12347e+07,3.12347,7.06732,0.44,"24,25"
vib_new_1342,2480,50x50,0.13,N/A,N/A,N/A,N/A,60032,1.47946,1.70844,2.27784e+07,2.27784,9.75749,0.71,"28,24"
vib_new_1070,2480,50x50,0.13,N/A,N/A,N/A,N/A,44125,1.47946,1.70844,2.46582e+07,2.46582,6.37334,0.44,"22,25"
vib_new_931,2480,50x50,0.13,N/A,N/A,N/A,N/A,33370,1.47946,1.70844,2.84247e+07,2.84247,7.06999,0.58,"25,17"
vib_new_705,2480,50x50,0.13,N/A,N/A,N/A,N/A,46040,1.47946,1.70844,2.03767e+07,2.03767,6.68523,0.64,"26,17"
vib_new_380,2480,50x50,0.13,N/A,N/A,N/A,N/A,29504,1.47946,1.70844,3.23819e+07,3.23819,6.65969,0.38,"26,21"
vib_new_275,2480,50x50,0.13,N/A,N/A,N/A,N/A,29483,1.47946,1.70844,2.52221e+07,2.52221,6.76267,0.54,"26,22"
vib_new_742,2480,50x50,0.13,N/A,N/A,N/A,N/A,34703,1.47946,1.70844,2.78926e+07,2.78926,6.42987,0.38,"25,25"
vib_new_1036,2480,50x50,0.13,N/A,N/A,N/A,N/A,28946,1.47946,1.70844,3.07654e+07,3.07654,6.91677,0.46,"27,21"
vib_new_1211,2480,50x50,0.13,N/A,N/A,N/A,N/A,24735,1.47946,1.70844,3.07367e+07,3.07367,6.67609,0.4,"25,19"
vib_new_88,2480,50x50,0.13,N/A,N/A,N/A,N/A,29213,1.47946,1.70844,2.79766e+07,2.79766,6.55613,0.42,"31,24"
vib_new_1479,2480,50x50,0.13,N/A,N/A,N/A,N/A,44955,1.47946,1.70844,2.75689e+07,2.75689,6.95889,0.46,"24,26"
vib_new_808,2480,50x50,0.13,N/A,N/A,N/A,N/A,52288,1.47946,1.70844,2.15545e+07,2.15545,6.82667,0.58,"23,23"
vib_new_1404,2480,50x50,0.13,N/A,N/A,N/A,N/A,25441,1.47946,1.70844,2.54591e+07,2.54591,6.52205,0.45,"24,20"
vib_new_1076,2480,50x50,0.13,N/A,N/A,N/A,N/A,27261,1.47946,1.70844,3.22550e+07,3.22550,6.51526,0.36,"24,24"
vib_new_811,2480,50x50,0.13,N/A,N/A,N/A,N/A,30724,1.47946,1.70844,2.23330e+07,2.23330,6.86643,0.48,"27,27"
vib_new_1219,2480,50x50,0.13,N/A,N/A,N/A,N/A,26662,1.47946,1.70844,3.49903e+07,3.49903,6.712,0.29,"27,26"
vib_new_1409,2480,50x50,0.13,N/A,N/A,N/A,N/A,35302,1.47946,1.70844,2.29636e+07,2.29636,6.68698,0.6,"25,28"
vib_new_136,2480,50x50,0.13,N/A,N/A,N/A,N/A,31789,1.47946,1.70844,2.77793e+07,2.77793,6.80649,0.44,"25,27"
vib_new_794,2480,50x50,0.13,N/A,N/A,N/A,N/A,37733,1.47946,1.70844,2.85417e+07,2.85417,6.70025,0.41,"25,24"
vib_new_918,2480,50x50,0.13,N/A,N/A,N/A,N/A,30410,1.47946,1.70844,3.22463e+07,3.22463,6.49697,0.3,"24,28"
vib_new_568,2480,50x50,0.13,N/A,N/A,N/A,N/A,47329,1.47946,1.70844,2.02506e+07,2.02506,6.91653,0.62,"26,21"
vib_new_1425,2480,50x50,0.13,N/A,N/A,N/A,N/A,32786,1.47946,1.70844,3.44750e+07,3.44750,6.62097,0.39,"24,26"
vib_new_713,2480,50x50,0.13,N/A,N/A,N/A,N/A,38149,1.47946,1.70844,3.07745e+07,3.07745,7.01171,0.4,"23,20"
vib_new_391,2480,50x50,0.13,N/A,N/A,N/A,N/A,36694,1.47946,1.70844,3.07683e+07,3.07683,6.58706,0.44,"27,19"
vib_new_1481,2480,50x50,0.13,N/A,N/A,N/A,N/A,32925,1.47946,1.70844,2.69665e+07,2.69665,6.74063,0.52,"26,19"
vib_new_852,2480,50x50,0.13,N/A,N/A,N/A,N/A,32558,1.47946,1.70844,2.60784e+07,2.60784,6.41569,0.44,"26,25"
vib_new_1422,2480,50x50,0.13,N/A,N/A,N/A,N/A,36041,1.47946,1.70844,2.52389e+07,2.52389,6.80936,0.46,"26,21"
vib_new_34,2480,50x50,0.13,N/A,N/A,N/A,N/A,49916,1.47946,1.70844,2.28416e+07,2.28416,7.61213,0.64,"25,22"
vib_new_671,2480,50x50,0.13,N/A,N/A,N/A,N/A,42190,1.47946,1.70844,2.04622e+07,2.04622,6.72637,0.6,"27,19"
vib_new_154,2480,50x50,0.13,N/A,N/A,N/A,N/A,33982,1.47946,1.70844,3.07859e+07,3.07859,6.64671,0.34,"27,20"
vib_new_717,2480,50x50,0.13,N/A,N/A,N/A,N/A,37804,1.47946,1.70844,2.25212e+07,2.25212,6.46049,0.53,"25,18"
vib_new_819,2480,50x50,0.13,N/A,N/A,N/A,N/A,23813,1.47946,1.70844,4.11676e+07,4.11676,6.49463,0.32,"24,27"
vib_new_1233,2480,50x50,0.13,N/A,N/A,N/A,N/A,49619,1.47946,1.70844,2.87214e+07,2.87214,7.36181,0.48,"25,19"
vib_new_924,2480,50x50,0.13,N/A,N/A,N/A,N/A,30557,1.47946,1.70844,3.60474e+07,3.60474,6.63632,0.35,"27,15"
vib_new_634,2480,50x50,0.13,N/A,N/A,N/A,N/A,26473,1.47946,1.70844,3.67107e+07,3.67107,6.18585,0.31,"25,21"
vib_new_394,2480,50x50,0.13,N/A,N/A,N/A,N/A,25105,1.47946,1.70844,3.19829e+07,3.19829,6.39605,0.43,"27,25"
vib_new_641,2480,50x50,0.13,N/A,N/A,N/A,N/A,30113,1.47946,1.70844,2.19376e+07,2.19376,6.52898,0.49,"25,25"
vib_new_775,2480,50x50,0.13,N/A,N/A,N/A,N/A,32522,1.47946,1.70844,2.77036e+07,2.77036,6.44671,0.37,"24,21"
vib_new_1403,2480,50x50,0.13,N/A,N/A,N/A,N/A,69217,1.47946,1.70844,2.40648e+07,2.40648,8.51281,0.66,"25,25"
vib_new_1378,2480,50x50,0.13,N/A,N/A,N/A,N/A,47193,1.47946,1.70844,2.27972e+07,2.27972,7.13504,0.51,"23,21"
vib_new_58,2480,50x50,0.13,N/A,N/A,N/A,N/A,43898,1.47946,1.70844,2.25359e+07,2.25359,7.00913,0.71,"25,21"
vib_new_534,2480,50x50,0.13,N/A,N/A,N/A,N/A,51023,1.47946,1.70844,2.82591e+07,2.82591,8.04987,0.57,"21,25"
vib_new_858,2480,50x50,0.13,N/A,N/A,N/A,N/A,27871,1.47946,1.70844,3.72020e+07,3.72020,6.82522,0.41,"24,23"
vib_new_246,2480,50x50,0.13,N/A,N/A,N/A,N/A,33012,1.47946,1.70844,2.52541e+07,2.52541,6.31373,0.42,"24,24"
vib_new_864,2480,50x50,0.13,N/A,N/A,N/A,N/A,29999,1.47946,1.70844,2.69394e+07,2.69394,6.33282,0.42,"27,20"
vib_new_929,2480,50x50,0.13,N/A,N/A,N/A,N/A,44518,1.47946,1.70844,2.15569e+07,2.15569,7.33072,0.64,"26,24"
vib_new_1301,2480,50x50,0.13,N/A,N/A,N/A,N/A,32674,1.47946,1.70844,2.87074e+07,2.87074,6.30543,0.42,"26,25"
vib_new_850,2480,50x50,0.13,N/A,N/A,N/A,N/A,33887,1.47946,1.70844,2.37152e+07,2.37152,6.78756,0.55,"26,29"
vib_new_624,2480,50x50,0.13,N/A,N/A,N/A,N/A,31769,1.47946,1.70844,3.24163e+07,3.24163,6.45889,0.34,"23,22"
vib_new_120,2480,50x50,0.13,N/A,N/A,N/A,N/A,29032,1.47946,1.70844,2.56905e+07,2.56905,6.58443,0.48,"26,25"
vib_new_750,2480,50x50,0.13,N/A,N/A,N/A,N/A,33031,1.47946,1.70844,2.38367e+07,2.38367,6.78448,0.47,"28,19"
vib_new_553,2480,50x50,0.13,N/A,N/A,N/A,N/A,37182,1.47946,1.70844,2.56211e+07,2.56211,6.48159,0.42,"25,20"
vib_new_1184,2480,50x50,0.13,N/A,N/A,N/A,N/A,54221,1.47946,1.70844,2.81640e+07,2.81640,7.37908,0.57,"26,20"
vib_new_145,2480,50x50,0.13,N/A,N/A,N/A,N/A,32475,1.47946,1.70844,3.48137e+07,3.48137,6.46191,0.38,"26,21"
vib_new_524,2480,50x50,0.13,N/A,N/A,N/A,N/A,66126,1.47946,1.70844,1.90181e+07,1.90181,7.25725,0.69,"26,24"
vib_new_1361,2480,50x50,0.13,N/A,N/A,N/A,N/A,29159,1.47946,1.70844,3.07815e+07,3.07815,6.57543,0.39,"24,24"
vib_new_461,2480,50x50,0.13,N/A,N/A,N/A,N/A,30257,1.47946,1.70844,3.26816e+07,3.26816,6.4632,0.37,"26,27"
vib_new_746,2480,50x50,0.13,N/A,N/A,N/A,N/A,44975,1.47946,1.70844,2.27907e+07,2.27907,6.67679,0.56,"27,25"
vib_new_112,2480,50x50,0.13,N/A,N/A,N/A,N/A,65631,1.47946,1.70844,2.50029e+07,2.50029,7.46431,0.68,"27,24"
vib_new_89,2480,50x50,0.13,N/A,N/A,N/A,N/A,33324,1.47946,1.70844,3.10359e+07,3.10359,7.23767,0.48,"25,18"
vib_new_106,2480,50x50,0.13,N/A,N/A,N/A,N/A,32171,1.47946,1.70844,2.46650e+07,2.46650,6.68094,0.54,"28,18"
vib_new_148,2480,50x50,0.13,N/A,N/A,N/A,N/A,39425,1.47946,1.70844,2.99149e+07,2.99149,7.0431,0.7,"25,21"
vib_new_467,2480,50x50,0.13,N/A,N/A,N/A,N/A,40442,1.47946,1.70844,2.32185e+07,2.32185,6.63949,0.53,"27,23"
vib_new_1462,2480,50x50,0.13,N/A,N/A,N/A,N/A,27540,1.47946,1.70844,3.50292e+07,3.50292,6.49601,0.38,"23,22"
