Architecture,6-LUTs,FPGA Size,Device Utilization,IO Utilization,CLB Utilization,Number of Nets,CLBs,Total Wirelength,Total Logic Block Area,Total Used Logic Block Area,Total Routing Area,Per Logic Tile,Critical Path,Maximum Routing Channel Utilization,Maximum Routing Channel Coordinate
vib_new_1017,9541,50x50,0.67,N/A,N/A,N/A,N/A,97463,1.47946,8.73103,2.62287e+07,2.62287,1.99956,0.28,"9,24"
vib_new_1,9541,50x50,0.67,N/A,N/A,N/A,N/A,91160,1.47946,8.73103,2.18916e+07,2.18916,1.72089,0.31,"46,43"
vib_new_1016,9541,50x50,0.67,N/A,N/A,N/A,N/A,59820,1.47946,8.73103,3.22736e+07,3.22736,2.24231,0.22,"24,15"
vib_new_572,9541,50x50,0.67,N/A,N/A,N/A,N/A,69242,1.47946,8.73103,2.75280e+07,2.75280,1.88016,0.3,"19,11"
vib_new_262,9541,50x50,0.67,N/A,N/A,N/A,N/A,82447,1.47946,8.73103,2.22121e+07,2.22121,1.86022,0.37,"7,41"
vib_new_1455,9541,50x50,0.67,N/A,N/A,N/A,N/A,72040,1.47946,8.73103,3.57294e+07,3.57294,2.3575,0.24,"43,23"
vib_new_787,9541,50x50,0.67,N/A,N/A,N/A,N/A,80109,1.47946,8.73103,2.90541e+07,2.90541,2.06453,0.35,"26,11"
vib_new_511,9541,50x50,0.67,N/A,N/A,N/A,N/A,59856,1.47946,8.73103,2.64995e+07,2.64995,1.98272,0.33,"27,3"
vib_new_878,9541,50x50,0.67,N/A,N/A,N/A,N/A,70374,1.47946,8.73103,2.51124e+07,2.51124,1.87516,0.27,"10,41"
vib_new_1110,9541,50x50,0.67,N/A,N/A,N/A,N/A,65562,1.47946,8.73103,2.82773e+07,2.82773,1.61773,0.26,"24,26"
vib_new_582,9541,50x50,0.67,N/A,N/A,N/A,N/A,67686,1.47946,8.73103,2.71043e+07,2.71043,1.69203,0.26,"7,47"
vib_new_1241,9541,50x50,0.67,N/A,N/A,N/A,N/A,66279,1.47946,8.73103,3.13358e+07,3.13358,1.83217,0.34,"31,47"
